STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;eor
       1443;19210507;    1;   0.0;   0;-999;eor
       1443;19210508;    1;   2.7;   1;-999;eor
       1443;19210509;    1;   0.1;   1;-999;eor
       1443;19210510;    1;   4.1;   1;-999;eor
       1443;19210511;    1;   0.0;   0;-999;eor
       1443;19210512;    1;   0.0;   0;-999;eor
       1443;19210513;    1;  11.0;   1;-999;eor
       1443;19210514;    1;   2.8;   1;-999;eor
       1443;19210515;    1;   0.3;   1;-999;eor
       1443;19210516;    1;   8.3;   1;-999;eor
       1443;19210517;    1;   0.3;   1;-999;eor
       1443;19210518;    1;   0.2;   1;-999;eor
       1443;19210519;    1;  32.3;   1;-999;eor
       1443;19210520;    1;   2.3;   1;-999;eor
       1443;19210521;    1;   0.0;   0;-999;eor
       1443;19210522;    1;   0.0;   0;-999;eor
       1443;19210523;    1;  16.3;   1;-999;eor
       1443;19210524;    1;   2.3;   1;-999;eor
       1443;19210525;    1;  37.6;   1;-999;eor
       1443;19210526;    1;   2.7;   1;-999;eor
       1443;19210527;    1;  16.3;   1;-999;eor
       1443;19210528;    1;  15.3;   1;-999;eor
       1443;19210529;    1;   0.0;   0;-999;eor
       1443;19210530;    1;   0.0;   0;-999;eor
       1443;19210531;    1;   0.0;   0;-999;eor
       1443;19210601;    1;   0.0;   0;-999;eor
       1443;19210602;    1;   0.0;   0;-999;eor
       1443;19210603;    1;   0.0;   0;-999;eor
       1443;19210604;    1;   0.0;   0;-999;eor
       1443;19210605;    1;   4.1;   1;-999;eor
       1443;19210606;    1;   0.0;   0;-999;eor
       1443;19210607;    1;   0.0;   0;-999;eor
       1443;19210608;    1;  56.4;   1;-999;eor
       1443;19210609;    1;   0.8;   1;-999;eor
       1443;19210610;    1;   0.8;   1;-999;eor
       1443;19210611;    1;   0.0;   0;-999;eor
       1443;19210612;    1;   0.0;   0;-999;eor
       1443;19210613;    1;   3.3;   1;-999;eor
       1443;19210614;    1;   0.7;   1;-999;eor
       1443;19210615;    1;   0.0;   0;-999;eor
       1443;19210616;    1;   0.0;   0;-999;eor
       1443;19210617;    1;   0.0;   0;-999;eor
       1443;19210618;    1;   0.9;   1;-999;eor
       1443;19210619;    1;   0.0;   0;-999;eor
       1443;19210620;    1;   0.0;   0;-999;eor
       1443;19210621;    1;  13.7;   1;-999;eor
       1443;19210622;    1;   6.3;   1;-999;eor
       1443;19210623;    1;   0.0;   0;-999;eor
       1443;19210624;    1;   0.0;   0;-999;eor
       1443;19210625;    1;   0.0;   0;-999;eor
       1443;19210626;    1;   0.0;   0;-999;eor
       1443;19210627;    1;   1.3;   1;-999;eor
       1443;19210628;    1;   1.0;   1;-999;eor
       1443;19210629;    1;   9.7;   1;-999;eor
       1443;19210630;    1;  12.4;   1;-999;eor
       1443;19210701;    1;   2.3;   1;-999;eor
       1443;19210702;    1;   2.2;   1;-999;eor
       1443;19210703;    1;   0.0;   0;-999;eor
       1443;19210704;    1;   0.0;   0;-999;eor
       1443;19210705;    1;   0.0;   0;-999;eor
       1443;19210706;    1;   0.0;   0;-999;eor
       1443;19210707;    1;   0.0;   0;-999;eor
       1443;19210708;    1;   0.7;   1;-999;eor
       1443;19210709;    1;   0.0;   0;-999;eor
       1443;19210710;    1;   0.0;   0;-999;eor
       1443;19210711;    1;   0.0;   0;-999;eor
       1443;19210712;    1;   0.0;   0;-999;eor
       1443;19210713;    1;   0.0;   0;-999;eor
       1443;19210714;    1;   0.0;   0;-999;eor
       1443;19210715;    1;   0.0;   0;-999;eor
       1443;19210716;    1;   0.0;   0;-999;eor
       1443;19210717;    1;   0.0;   0;-999;eor
       1443;19210718;    1;   1.5;   1;-999;eor
       1443;19210719;    1;   2.4;   1;-999;eor
       1443;19210720;    1;  12.8;   1;-999;eor
       1443;19210721;    1;   0.0;   0;-999;eor
       1443;19210722;    1;   0.0;   0;-999;eor
       1443;19210723;    1;   0.0;   0;-999;eor
       1443;19210724;    1;  20.4;   1;-999;eor
       1443;19210725;    1;   0.0;   0;-999;eor
       1443;19210726;    1;   0.0;   0;-999;eor
       1443;19210727;    1;   0.0;   0;-999;eor
       1443;19210728;    1;   0.0;   0;-999;eor
       1443;19210729;    1;   0.0;   0;-999;eor
       1443;19210730;    1;   0.0;   0;-999;eor
       1443;19210731;    1;   0.0;   0;-999;eor
       1443;19210801;    1;   0.0;   0;-999;eor
       1443;19210802;    1;   0.0;   0;-999;eor
       1443;19210803;    1;  12.4;   1;-999;eor
       1443;19210804;    1;   0.0;   0;-999;eor
       1443;19210805;    1;   0.0;   0;-999;eor
       1443;19210806;    1;   0.0;   0;-999;eor
       1443;19210807;    1;   0.0;   0;-999;eor
       1443;19210808;    1;   0.0;   0;-999;eor
       1443;19210809;    1;   0.0;   0;-999;eor
       1443;19210810;    1;   5.1;   1;-999;eor
       1443;19210811;    1;  32.0;   1;-999;eor
       1443;19210812;    1;  41.2;   1;-999;eor
       1443;19210813;    1;   9.4;   1;-999;eor
       1443;19210814;    1;   5.0;   1;-999;eor
       1443;19210815;    1;   7.9;   1;-999;eor
       1443;19210816;    1;   0.0;   0;-999;eor
       1443;19210817;    1;   0.0;   0;-999;eor
       1443;19210818;    1;   0.0;   0;-999;eor
       1443;19210819;    1;   1.4;   1;-999;eor
       1443;19210820;    1;   2.1;   1;-999;eor
       1443;19210821;    1;   1.5;   1;-999;eor
       1443;19210822;    1;   2.1;   1;-999;eor
       1443;19210823;    1;   0.2;   1;-999;eor
       1443;19210824;    1;   0.0;   0;-999;eor
       1443;19210825;    1;   2.4;   1;-999;eor
       1443;19210826;    1;   0.0;   0;-999;eor
       1443;19210827;    1;   0.0;   0;-999;eor
       1443;19210828;    1;   0.0;   0;-999;eor
       1443;19210829;    1;   0.0;   0;-999;eor
       1443;19210830;    1;   4.0;   1;-999;eor
       1443;19210831;    1;   0.0;   0;-999;eor
       1443;19210901;    1;   0.0;   0;-999;eor
       1443;19210902;    1;   0.0;   0;-999;eor
       1443;19210903;    1;   4.6;   1;-999;eor
       1443;19210904;    1;   2.3;   1;-999;eor
       1443;19210905;    1;   0.0;   0;-999;eor
       1443;19210906;    1;   0.0;   0;-999;eor
       1443;19210907;    1;   0.0;   0;-999;eor
       1443;19210908;    1;   0.0;   0;-999;eor
       1443;19210909;    1;   0.2;   1;-999;eor
       1443;19210910;    1;   0.0;   0;-999;eor
       1443;19210911;    1;   6.2;   1;-999;eor
       1443;19210912;    1;   0.0;   0;-999;eor
       1443;19210913;    1;   0.0;   0;-999;eor
       1443;19210914;    1;   0.0;   0;-999;eor
       1443;19210915;    1;   0.0;   0;-999;eor
       1443;19210916;    1;   2.5;   1;-999;eor
       1443;19210917;    1;   0.0;   0;-999;eor
       1443;19210918;    1;   3.2;   1;-999;eor
       1443;19210919;    1;   0.0;   0;-999;eor
       1443;19210920;    1;   3.0;   1;-999;eor
       1443;19210921;    1;   8.2;   1;-999;eor
       1443;19210922;    1;   0.0;   0;-999;eor
       1443;19210923;    1;   0.0;   0;-999;eor
       1443;19210924;    1;   0.0;   0;-999;eor
       1443;19210925;    1;   0.0;   0;-999;eor
       1443;19210926;    1;   0.0;   0;-999;eor
       1443;19210927;    1;   0.0;   0;-999;eor
       1443;19210928;    1;   0.0;   0;-999;eor
       1443;19210929;    1;   0.0;   0;-999;eor
       1443;19210930;    1;   0.0;   0;-999;eor
       1443;19211001;    1;   0.0;   0;-999;eor
       1443;19211002;    1;   0.2;   1;-999;eor
       1443;19211003;    1;   0.0;   0;-999;eor
       1443;19211004;    1;   0.0;   0;-999;eor
       1443;19211005;    1;   0.0;   0;-999;eor
       1443;19211006;    1;   0.0;   0;-999;eor
       1443;19211007;    1;   0.0;   0;-999;eor
       1443;19211008;    1;   0.0;   0;-999;eor
       1443;19211009;    1;   0.0;   0;-999;eor
       1443;19211010;    1;   0.0;   0;-999;eor
       1443;19211011;    1;   0.0;   0;-999;eor
       1443;19211012;    1;   0.0;   0;-999;eor
       1443;19211013;    1;   0.0;   0;-999;eor
       1443;19211014;    1;   2.7;   1;-999;eor
       1443;19211015;    1;   0.0;   0;-999;eor
       1443;19211016;    1;   0.0;   0;-999;eor
       1443;19211017;    1;   0.0;   0;-999;eor
       1443;19211018;    1;   0.0;   0;-999;eor
       1443;19211019;    1;   0.0;   0;-999;eor
       1443;19211020;    1;   0.0;   0;-999;eor
       1443;19211021;    1;   2.0;   1;-999;eor
       1443;19211022;    1;   2.3;   1;-999;eor
       1443;19211023;    1;   0.0;   0;-999;eor
       1443;19211024;    1;   0.0;   0;-999;eor
       1443;19211025;    1;   0.0;   0;-999;eor
       1443;19211026;    1;   0.0;   0;-999;eor
       1443;19211027;    1;   0.0;   0;-999;eor
       1443;19211028;    1;   6.2;   1;-999;eor
       1443;19211029;    1;   2.0;   1;-999;eor
       1443;19211030;    1;   0.0;   0;-999;eor
       1443;19211031;    1;   0.0;   0;-999;eor
       1443;19211101;    1;   4.6;   1;-999;eor
       1443;19211102;    1;  14.6;   1;-999;eor
       1443;19211103;    1;  15.0;   1;-999;eor
       1443;19211104;    1;   6.8;   1;-999;eor
       1443;19211105;    1;   1.8;   1;-999;eor
       1443;19211106;    1;   3.7;   1;-999;eor
       1443;19211107;    1;   0.0;   0;-999;eor
       1443;19211108;    1;   3.8;   7;-999;eor
       1443;19211109;    1;   0.0;   0;-999;eor
       1443;19211110;    1;   0.0;   0;-999;eor
       1443;19211111;    1;   0.0;   0;-999;eor
       1443;19211112;    1;   0.0;   0;-999;eor
       1443;19211113;    1;   0.0;   0;-999;eor
       1443;19211114;    1;   0.0;   0;-999;eor
       1443;19211115;    1;   0.0;   0;-999;eor
       1443;19211116;    1;   0.0;   0;-999;eor
       1443;19211117;    1;   0.0;   0;-999;eor
       1443;19211118;    1;   0.0;   0;-999;eor
       1443;19211119;    1;   0.0;   0;-999;eor
       1443;19211120;    1;   0.0;   0;-999;eor
       1443;19211121;    1;   0.0;   0;-999;eor
       1443;19211122;    1;   0.0;   0;-999;eor
       1443;19211123;    1;   0.0;   0;-999;eor
