STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
        555;18980201;18980228;    5;   -999;   119.0;-999;-999;eor
        555;18980301;18980331;    5;   -999;    68.0;-999;-999;eor
        555;18980401;18980430;    5;   -999;    44.0;-999;-999;eor
        555;18980501;18980531;    5;   -999;   113.0;-999;-999;eor
        555;18980601;18980630;    5;   -999;    71.0;-999;-999;eor
        555;18980701;18980731;    5;   -999;   111.0;-999;-999;eor
        555;18980801;18980831;    5;   -999;    40.0;-999;-999;eor
        555;18980901;18980930;    5;   -999;    28.0;-999;-999;eor
        555;18981001;18981031;    5;   -999;    74.0;-999;-999;eor
        555;18981101;18981130;    5;   -999;    24.0;-999;-999;eor
        555;18981201;18981231;    5;   -999;    65.0;-999;-999;eor
        555;18990101;18990131;    5;   -999;    95.0;-999;-999;eor
        555;18990201;18990228;    5;   -999;    27.0;-999;-999;eor
        555;18990301;18990331;    5;   -999;    26.0;-999;-999;eor
        555;18990401;18990430;    5;   -999;   104.0;-999;-999;eor
        555;18990501;18990531;    5;   -999;   105.0;-999;-999;eor
        555;18990601;18990630;    5;   -999;    34.0;-999;-999;eor
        555;18990701;18990731;    5;   -999;    76.0;-999;-999;eor
        555;18990801;18990831;    5;   -999;    14.0;-999;-999;eor
        555;18990901;18990930;    5;   -999;   103.0;-999;-999;eor
        555;18991001;18991031;    5;   -999;    28.0;-999;-999;eor
        555;18991101;18991130;    5;   -999;    43.0;-999;-999;eor
        555;18991201;18991231;    5;   -999;    44.0;-999;-999;eor
        555;19000101;19000131;    5;   -999;    92.0;-999;-999;eor
        555;19000201;19000228;    5;   -999;    57.0;-999;-999;eor
        555;19000301;19000331;    5;   -999;    31.0;-999;-999;eor
        555;19000401;19000430;    5;   -999;    43.0;-999;-999;eor
        555;19000501;19000531;    5;   -999;    35.0;-999;-999;eor
        555;19000601;19000630;    5;   -999;   126.0;-999;-999;eor
        555;19000701;19000731;    5;   -999;    92.0;-999;-999;eor
        555;19000801;19000831;    5;   -999;   150.0;-999;-999;eor
        555;19000901;19000930;    5;   -999;    21.0;-999;-999;eor
        555;19001001;19001031;    5;   -999;   101.0;-999;-999;eor
        555;19001101;19001130;    5;   -999;    31.0;-999;-999;eor
        555;19001201;19001231;    5;   -999;    97.0;-999;-999;eor
        555;19010101;19010131;    5;   -999;    55.0;-999;-999;eor
        555;19010201;19010228;    5;   -999;    40.0;-999;-999;eor
        555;19010301;19010331;    5;   -999;    77.0;-999;-999;eor
        555;19010401;19010430;    5;   -999;    80.0;-999;-999;eor
        555;19010501;19010531;    5;   -999;     7.0;-999;-999;eor
        555;19010601;19010630;    5;   -999;    57.0;-999;-999;eor
        555;19010701;19010731;    5;   -999;    18.0;-999;-999;eor
        555;19010801;19010831;    5;   -999;    70.0;-999;-999;eor
        555;19010901;19010930;    5;   -999;   116.0;-999;-999;eor
        555;19011001;19011031;    5;   -999;   109.0;-999;-999;eor
        555;19011101;19011130;    5;   -999;    86.0;-999;-999;eor
        555;19011201;19011231;    5;   -999;    72.0;-999;-999;eor
        555;19020101;19020131;    5;   -999;    70.0;-999;-999;eor
        555;19020201;19020228;    5;   -999;    35.0;-999;-999;eor
        555;19020301;19020331;    5;   -999;    71.0;-999;-999;eor
        555;19020401;19020430;    5;   -999;    33.0;-999;-999;eor
        555;19020501;19020531;    5;   -999;   110.0;-999;-999;eor
        555;19020601;19020630;    5;   -999;    90.0;-999;-999;eor
        555;19020701;19020731;    5;   -999;    72.0;-999;-999;eor
        555;19020801;19020831;    5;   -999;    77.0;-999;-999;eor
        555;19020901;19020930;    5;   -999;    58.0;-999;-999;eor
        555;19021001;19021031;    5;   -999;    96.0;-999;-999;eor
        555;19021101;19021130;    5;   -999;    15.0;-999;-999;eor
        555;19021201;19021231;    5;   -999;    88.0;-999;-999;eor
        555;19030101;19030131;    5;   -999;    37.0;-999;-999;eor
        555;19030201;19030228;    5;   -999;    43.0;-999;-999;eor
        555;19030301;19030331;    5;   -999;    54.0;-999;-999;eor
        555;19030401;19030430;    5;   -999;    90.0;-999;-999;eor
        555;19030501;19030531;    5;   -999;    81.0;-999;-999;eor
        555;19030601;19030630;    5;   -999;    35.0;-999;-999;eor
        555;19030701;19030731;    5;   -999;   112.0;-999;-999;eor
        555;19030801;19030831;    5;   -999;    68.0;-999;-999;eor
        555;19030901;19030930;    5;   -999;    79.0;-999;-999;eor
        555;19031001;19031031;    5;   -999;    90.0;-999;-999;eor
        555;19031101;19031130;    5;   -999;    94.0;-999;-999;eor
        555;19031201;19031231;    5;   -999;    19.0;-999;-999;eor
        555;19040101;19040131;    5;   -999;    52.0;-999;-999;eor
        555;19040201;19040229;    5;   -999;    67.0;-999;-999;eor
        555;19040301;19040331;    5;   -999;    65.0;-999;-999;eor
        555;19040401;19040430;    5;   -999;    43.0;-999;-999;eor
        555;19040501;19040531;    5;   -999;    33.0;-999;-999;eor
        555;19040601;19040630;    5;   -999;    68.0;-999;-999;eor
        555;19040701;19040731;    5;   -999;    41.0;-999;-999;eor
        555;19040801;19040831;    5;   -999;    73.0;-999;-999;eor
        555;19040901;19040930;    5;   -999;    27.0;-999;-999;eor
        555;19041001;19041031;    5;   -999;    44.0;-999;-999;eor
        555;19041101;19041130;    5;   -999;    56.0;-999;-999;eor
        555;19041201;19041231;    5;   -999;    65.0;-999;-999;eor
        555;19050101;19050131;    5;   -999;    57.0;-999;-999;eor
        555;19050201;19050228;    5;   -999;    56.0;-999;-999;eor
        555;19050301;19050331;    5;   -999;   114.0;-999;-999;eor
        555;19050401;19050430;    5;   -999;    72.0;-999;-999;eor
        555;19050501;19050531;    5;   -999;    49.0;-999;-999;eor
        555;19050601;19050630;    5;   -999;   113.0;-999;-999;eor
        555;19050701;19050731;    5;   -999;    97.0;-999;-999;eor
        555;19050801;19050831;    5;   -999;    58.0;-999;-999;eor
        555;19050901;19050930;    5;   -999;    64.0;-999;-999;eor
        555;19051001;19051031;    5;   -999;   126.0;-999;-999;eor
        555;19051101;19051130;    5;   -999;    71.0;-999;-999;eor
        555;19051201;19051231;    5;   -999;    31.0;-999;-999;eor
        555;19060101;19060131;    5;   -999;    82.0;-999;-999;eor
        555;19060201;19060228;    5;   -999;    42.0;-999;-999;eor
        555;19060301;19060331;    5;   -999;    91.0;-999;-999;eor
        555;19060401;19060430;    5;   -999;    43.0;-999;-999;eor
        555;19060501;19060531;    5;   -999;    94.0;-999;-999;eor
        555;19060601;19060630;    5;   -999;    66.0;-999;-999;eor
        555;19060701;19060731;    5;   -999;    55.0;-999;-999;eor
        555;19060801;19060831;    5;   -999;    93.0;-999;-999;eor
        555;19060901;19060930;    5;   -999;    41.0;-999;-999;eor
        555;19061001;19061031;    5;   -999;    65.0;-999;-999;eor
        555;19061101;19061130;    5;   -999;    66.0;-999;-999;eor
        555;19061201;19061231;    5;   -999;    74.0;-999;-999;eor
        555;19070101;19070131;    5;   -999;    43.0;-999;-999;eor
        555;19070201;19070228;    5;   -999;    54.0;-999;-999;eor
        555;19070301;19070331;    5;   -999;    59.0;-999;-999;eor
        555;19070401;19070430;    5;   -999;    20.0;-999;-999;eor
        555;19070501;19070531;    5;   -999;    97.0;-999;-999;eor
        555;19070601;19070630;    5;   -999;    88.0;-999;-999;eor
        555;19070701;19070731;    5;   -999;    92.0;-999;-999;eor
        555;19070801;19070831;    5;   -999;    95.0;-999;-999;eor
        555;19070901;19070930;    5;   -999;    37.0;-999;-999;eor
        555;19071001;19071031;    5;   -999;    38.0;-999;-999;eor
        555;19071101;19071130;    5;   -999;    46.0;-999;-999;eor
        555;19071201;19071231;    5;   -999;    55.0;-999;-999;eor
        555;19080101;19080131;    5;   -999;    52.0;-999;-999;eor
        555;19080201;19080229;    5;   -999;    76.0;-999;-999;eor
        555;19080301;19080331;    5;   -999;    42.0;-999;-999;eor
        555;19080401;19080430;    5;   -999;    77.0;-999;-999;eor
        555;19080501;19080531;    5;   -999;    74.0;-999;-999;eor
        555;19080601;19080630;    5;   -999;    54.0;-999;-999;eor
        555;19080701;19080731;    5;   -999;    77.0;-999;-999;eor
        555;19080801;19080831;    5;   -999;   118.0;-999;-999;eor
        555;19080901;19080930;    5;   -999;    92.0;-999;-999;eor
        555;19081001;19081031;    5;   -999;     4.0;-999;-999;eor
        555;19081101;19081130;    5;   -999;    54.0;-999;-999;eor
        555;19081201;19081231;    5;   -999;    28.0;-999;-999;eor
        555;19090101;19090131;    5;   -999;    36.0;-999;-999;eor
        555;19090201;19090228;    5;   -999;    95.0;-999;-999;eor
        555;19090301;19090331;    5;   -999;    45.0;-999;-999;eor
        555;19090401;19090430;    5;   -999;    53.0;-999;-999;eor
        555;19090501;19090531;    5;   -999;    31.0;-999;-999;eor
        555;19090601;19090630;    5;   -999;    58.0;-999;-999;eor
        555;19090701;19090731;    5;   -999;   115.0;-999;-999;eor
        555;19090801;19090831;    5;   -999;    85.0;-999;-999;eor
        555;19090901;19090930;    5;   -999;    96.0;-999;-999;eor
        555;19091001;19091031;    5;   -999;    45.0;-999;-999;eor
        555;19091101;19091130;    5;   -999;    60.0;-999;-999;eor
        555;19091201;19091231;    5;   -999;    94.0;-999;-999;eor
        555;19100101;19100131;    5;   -999;    68.0;-999;-999;eor
        555;19100201;19100228;    5;   -999;    80.0;-999;-999;eor
        555;19100301;19100331;    5;   -999;    21.0;-999;-999;eor
        555;19100401;19100430;    5;   -999;    50.0;-999;-999;eor
        555;19100501;19100531;    5;   -999;    52.0;-999;-999;eor
        555;19100601;19100630;    5;   -999;   130.0;-999;-999;eor
        555;19100701;19100731;    5;   -999;   153.0;-999;-999;eor
        555;19100801;19100831;    5;   -999;    95.0;-999;-999;eor
